post_type,avg_engagement_rate,median_engagement_rate,avg_likes,avg_comments,total_likes,total_comments,post_count,max_engagement_rate,min_engagement_rate,engagement_per_post_share
Carousel,26.93,30.04,1798.0,48.0,57550,1541,32,81.4377,-0.0146,97.0
Image,33.54,33.54,2300.0,0.0,2300,0,1,33.5375,33.5375,3.0
